"from" "to" "V3"
"1" "ENSMUSG00000031078" "ENSMUSG00000000386" "0.16664746618262"
"2" "ENSMUSG00000031078" "ENSMUSG00000015176" "0.134839495132022"
"3" "ENSMUSG00000031078" "ENSMUSG00000036602" "0.22077146630411"
"4" "ENSMUSG00000051706" "ENSMUSG00000000983" "0.103784459960277"
"5" "ENSMUSG00000051706" "ENSMUSG00000084203" "0.1721228122985"
"6" "ENSMUSG00000051706" "ENSMUSG00000087633" "0.171921416554577"
"7" "ENSMUSG00000051706" "ENSMUSG00000100111" "0.084979921794122"
"8" "ENSMUSG00000031736" "ENSMUSG00000001227" "0.16664746618262"
"9" "ENSMUSG00000031736" "ENSMUSG00000061126" "0.22077146630411"
"10" "ENSMUSG00000031736" "ENSMUSG00000054258" "0.134839495132022"
"11" "ENSMUSG00000070084" "ENSMUSG00000070847" "0.258575342536724"
"12" "ENSMUSG00000070084" "ENSMUSG00000001750" "0.258575342536724"
"13" "ENSMUSG00000035373" "ENSMUSG00000002477" "0.260859246985167"
"14" "ENSMUSG00000035373" "ENSMUSG00000088538" "0.261011613436555"
"15" "ENSMUSG00000089376" "ENSMUSG00000002633" "0.261039968159939"
"16" "ENSMUSG00000089376" "ENSMUSG00000024383" "0.261039968159939"
"17" "ENSMUSG00000065607" "ENSMUSG00000002699" "0.187793504720736"
"18" "ENSMUSG00000065607" "ENSMUSG00000000202" "0.0692942694806262"
"19" "ENSMUSG00000065607" "ENSMUSG00000029656" "0.0812960518740176"
"20" "ENSMUSG00000065607" "ENSMUSG00000114375" "0.156737156153447"
"21" "ENSMUSG00000079543" "ENSMUSG00000003235" "0.186322805900825"
"22" "ENSMUSG00000079543" "ENSMUSG00000000120" "0.153686011924996"
"23" "ENSMUSG00000079543" "ENSMUSG00000108184" "0.153686011924996"
"24" "ENSMUSG00000024477" "ENSMUSG00000108978" "0.232849314926553"
"25" "ENSMUSG00000024477" "ENSMUSG00000003505" "0.258575342536724"
"26" "ENSMUSG00000024477" "ENSMUSG00000108978" "0.232849314926553"
"27" "ENSMUSG00000108978" "ENSMUSG00000003505" "0.258575342536724"
"28" "ENSMUSG00000114917" "ENSMUSG00000005262" "0.219829412653692"
"29" "ENSMUSG00000114917" "ENSMUSG00000074219" "0.115479859767999"
"30" "ENSMUSG00000114917" "ENSMUSG00000015289" "0.0924595609164519"
"31" "ENSMUSG00000114917" "ENSMUSG00000088335" "0.0924595609164519"
"32" "ENSMUSG00000047656" "ENSMUSG00000005514" "0.260036790232874"
"33" "ENSMUSG00000047656" "ENSMUSG00000090556" "0.261832671635714"
"34" "ENSMUSG00000073991" "ENSMUSG00000006007" "0.255961649872322"
"35" "ENSMUSG00000073991" "ENSMUSG00000029408" "0.136972712663527"
"36" "ENSMUSG00000073991" "ENSMUSG00000028496" "0.0135934005240729"
"37" "ENSMUSG00000073991" "ENSMUSG00000104999" "0.0292596945279655"
"38" "ENSMUSG00000073991" "ENSMUSG00000112655" "0.0662420837679845"
"39" "ENSMUSG00000073991" "ENSMUSG00000086952" "0.0153168785382042"
"40" "ENSMUSG00000108738" "ENSMUSG00000006311" "0.261039968159939"
"41" "ENSMUSG00000108738" "ENSMUSG00000022769" "0.227920063680122"
"42" "ENSMUSG00000030621" "ENSMUSG00000110819" "0.180632667015569"
"43" "ENSMUSG00000030621" "ENSMUSG00000008435" "0.103435065005995"
"44" "ENSMUSG00000030621" "ENSMUSG00000092963" "0.159577360334134"
"45" "ENSMUSG00000030621" "ENSMUSG00000025237" "0.0857479593717715"
"46" "ENSMUSG00000027742" "ENSMUSG00000009739" "0.261039968159939"
"47" "ENSMUSG00000027742" "ENSMUSG00000100690" "0.227920063680122"
"48" "ENSMUSG00000100711" "ENSMUSG00000013921" "0.136875968893249"
"49" "ENSMUSG00000100711" "ENSMUSG00000058230" "0.142165812947172"
"50" "ENSMUSG00000100711" "ENSMUSG00000030584" "0.113718164609279"
"51" "ENSMUSG00000100711" "ENSMUSG00000032352" "0.118156478647722"
